Section,Measure,Unit,Year,Value
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2013,5892.66
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2014,7600.99
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2015,9185.94
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2016,8233.15
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2017,8400.62
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2018,7689.52
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2019,8048.43
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2020,8570.39
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2021,8441.81
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2022,8668.34
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2023,8623.81
Frequency of observation: Annual,"Energy productivity, GDP per unit of TES 1","US dollars per tonne of oil equivalent, 2020",2024,8032.72
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2009,3.82
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2010,4.11
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2011,4.53
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2012,4.27
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2013,4.65
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2014,3.7
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2015,3.05
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2016,3.39
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2017,3.4
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2018,3.81
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2019,3.75
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2020,3.39
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2021,3.54
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2022,3.51
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2023,3.65
Frequency of observation: Annual,Energy intensity per capita 1,Tonnes of oil equivalent per person,2024,3.62
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2009,63.48
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2010,69.13
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2011,77.34
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2012,73.9
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2013,81.56
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2014,65.89
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2015,55.17
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2016,62.24
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2017,63.5
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2018,72.21
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2019,72.1
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2020,66.01
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2021,69.9
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2022,70.25
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2023,74.22
Frequency of observation: Annual,Total energy supply 1,"Tonnes of oil equivalent, Millions",2024,74.6
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2009,177.91
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2010,193.74
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2011,216.76
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2012,207.12
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2013,228.59
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2014,184.66
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2015,154.63
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2016,174.42
Frequency of observation: Annual,Total energy supply 1,"Index, 2000",2017,177.96
